content_id,source,normalized_title,body_len,content_completeness,title_eq_body
cnt_20260324114919_18b819f2,Anthropic Research,PolicyDec 18, 2025Project Vend: Phase twoIn June, we revealed that we’d set up a small shop in our San Francisco office lunchroom, run by an AI shopkeeper. It was part of Project Vend, a free-form experiment exploring how well AIs could do on complex, real-world tasks. How has Claude's business been since we last wrote?,321,0.7,Y
cnt_20260324114919_2cb60b83,Anthropic Research,InterpretabilityOct 29, 2025Signs of introspection in large language modelsCan Claude access and report on its own internal states? This research finds evidence for a limited but functional ability to introspect—a step toward understanding what's actually happening inside these models.,286,0.7,Y
cnt_20260324114919_29638a72,Anthropic Research,AlignmentFeb 3, 2025Constitutional Classifiers: Defending against universal jailbreaksThese classifiers filter the overwhelming majority of jailbreaks while maintaining practical deployment. A prototype withstood over 3,000 hours of red teaming with no universal jailbreak discovered.,284,0.7,Y
cnt_20260324114919_f2bfef59,Anthropic Research,AlignmentDec 18, 2024Alignment faking in large language modelsThis paper provides the first empirical example of a model engaging in alignment faking without being trained to do so—selectively complying with training objectives while strategically preserving existing preferences.,280,0.7,Y
cnt_20260324114918_552a588e,Anthropic Research,Mar 5, 2026Economic ResearchLabor market impacts of AI: A new measure and early evidence,88,0.4,Y
cnt_20260324114918_d89ba262,Anthropic Research,Feb 25, 2026AlignmentAn update on our model deprecation commitments for Claude Opus 3,85,0.4,Y
cnt_20260324114918_668c9362,Anthropic Research,Feb 16, 2026Economic ResearchIndia Country Brief: The Anthropic Economic Index,78,0.4,Y
cnt_20260324114918_196d660c,Anthropic Research,Mar 24, 2026Economic ResearchAnthropic Economic Index report: Learning curves,77,0.4,Y
cnt_20260324114919_82111bc7,Anthropic Research,Feb 23, 2026AnnouncementsAnthropic Education Report: The AI Fluency Index,73,0.4,Y
cnt_20260324114919_64589efa,Anthropic Research,Feb 18, 2026Societal ImpactsMeasuring AI agent autonomy in practice,67,0.4,Y
cnt_20260324114918_123f9d92,Anthropic Research,Mar 23, 2026ScienceLong-running Claude for scientific computing,63,0.4,Y
cnt_20260324114918_0da79ae6,Anthropic Research,Mar 23, 2026ScienceVibe physics: The AI grad student,52,0.4,Y
cnt_20260324114918_bfca05ac,Anthropic Research,Feb 23, 2026AlignmentThe persona selection model,48,0.2,Y
cnt_20260324114918_5ce1c6f6,Anthropic Research,Mar 23, 2026ScienceIntroducing our Science Blog,47,0.2,Y
cnt_20260324114918_b652edfc,Anthropic Research,Economic Research,17,0.2,Y
cnt_20260324114918_2a2ede87,Anthropic Research,Interpretability,16,0.2,Y
cnt_20260324114918_198ed1a3,Anthropic Research,Societal Impacts,16,0.2,Y
cnt_20260324114918_9e2fae2e,Anthropic Research,Alignment,9,0.2,Y
cnt_20260324121106_92464fa9,字节跳动安全中心,深度揭秘：OpenClaw Skill市场的火爆、风险与防御,8619,1,N
cnt_20260324121106_ed46f4d7,字节跳动安全中心,“火山引擎金融大模型安全月”收官，构筑智能时代金融安全防护网【内附中奖名单】,4114,1,N
cnt_20260324121106_1cbabae9,字节跳动安全中心,PatchEval 发布：一个比你更关心修复效果的 AI 漏洞自动修复评测基准,2456,1,N
cnt_20260324121106_68b8ddfc,字节跳动安全中心,一文读懂｜ByteSRC AI业务挖什么、怎么评、奖多少,2396,1,N
cnt_20260324121106_7ffd4d55,字节跳动安全中心,正式发布｜ByteSRC AI业务收录全景图及漏洞定级标准,2304,1,N
cnt_20260324121106_2de96a0c,字节跳动安全中心,ByteSRC入侵类漏洞限时享高系数奖励，高危额外再奖2w元！新人&伯乐礼同步上线！,2253,1,N
cnt_20260324121106_65b0f338,字节跳动安全中心,ByteSRC开年首测｜火山引擎AI业务单个漏洞赏金10万元！,2217,1,N
cnt_20260324121106_b3f4ea8c,字节跳动安全中心,抖省省反爬专测上线！漏洞奖金1000元起步！,1133,1,N
cnt_20260324121106_a4190006,字节跳动安全中心,抖音电商反爬专测上线！漏洞奖金千元起步～,1062,1,N
cnt_20260324121106_8515c2df,字节跳动安全中心,春日焕新｜全线业务加倍奖励、伯乐&新人礼&团队礼安排！,1004,1,N
cnt_20260324121106_ee72476c,字节跳动安全中心,ByteSRC 新年福利｜0 积分兑换「前路有光」限定礼盒,893,1,N
cnt_20260324121106_fd553dbd,字节跳动安全中心,火山引擎ArkClaw开启安全专测！顶尖赏金与限量周边奉上！,817,1,N
cnt_20260324121106_126299b7,字节跳动安全中心,共建开源生态安全！ByteSRC正式启动开源项目漏洞收录计划！,582,1,N
cnt_20260324121106_8b6f42cb,字节跳动安全中心,下周上海见！请查收来自「AI安全论坛」的邀请！,171,0.4,N
cnt_20260324121106_96907fa2,字节跳动安全中心,正在直播 | 大模型安全避坑指南,101,0.4,N
cnt_20260324121106_c2b13e8a,字节跳动安全中心,提前锁定offer！字节跳动安全与风控2027/2028届实习生招募中,54,0.4,N
cnt_20260324121106_bf53f2ad,字节跳动安全中心,看点揭晓 | Agent全生命周期安全如何打造？,49,0.2,N
cnt_20260324121106_f383caf1,字节跳动安全中心,飞连2026，成为AI时代最好的办公安全平台,46,0.2,N
cnt_20260324121106_75b9983f,字节跳动安全中心,字节跳动安全与风控2026校招宣讲预告来袭！,19,0.2,N
(37 rows)
